Kehadiran,Nilai_Tugas,Nilai_UTS,Nilai_UAS,Lulus
91,92,92,60,Ya
99,96,55,92,Ya
84,96,96,79,Ya
76,62,82,66,Ya
91,80,71,79,Ya
60,97,59,76,Tidak
67,86,61,95,Ya
90,86,79,73,Ya
85,94,58,91,Ya
87,97,96,74,Ya
95,76,94,61,Ya
64,76,89,87,Ya
87,77,94,88,Ya
81,91,99,60,Ya
77,95,76,98,Ya
63,75,99,92,Ya
84,88,67,66,Ya
63,88,88,96,Ya
95,76,87,96,Ya
76,60,89,88,Ya
64,91,86,72,Ya
83,81,95,61,Ya
92,91,81,83,Ya
75,88,93,90,Ya
71,83,58,55,Tidak
96,91,89,79,Ya
65,82,65,63,Tidak
71,72,90,61,Ya
91,75,59,90,Ya
99,73,73,81,Ya
74,71,91,86,Ya
93,66,78,94,Ya
66,60,60,93,Tidak
86,93,80,59,Ya
89,84,58,67,Ya
96,84,90,81,Ya
95,86,81,94,Ya
71,95,64,84,Ya
94,77,85,88,Ya
99,73,94,69,Ya
87,72,55,58,Tidak
95,93,66,78,Ya
85,61,63,93,Ya
96,91,87,95,Ya
93,63,67,91,Ya
100,56,97,91,Ya
89,97,91,72,Ya
70,98,56,78,Ya
94,76,91,66,Ya
91,97,63,71,Ya
90,93,75,95,Ya
92,61,83,98,Ya
88,98,67,64,Ya
91,95,63,74,Ya
95,78,82,87,Ya
81,60,89,98,Ya
74,71,98,87,Ya
93,90,89,66,Ya
67,85,71,69,Ya
76,82,84,55,Ya
91,92,99,86,Ya
95,59,74,88,Ya
95,90,81,67,Ya
85,94,83,93,Ya
74,60,85,95,Ya
75,63,84,93,Ya
96,84,94,88,Ya
97,89,85,94,Ya
67,79,79,96,Ya
94,86,64,95,Ya
64,83,83,73,Ya
67,88,67,98,Ya
87,63,97,92,Ya
89,91,96,82,Ya
92,71,77,70,Ya
78,92,64,80,Ya
92,81,82,71,Ya
81,81,74,61,Ya
91,85,79,74,Ya
60,63,90,78,Tidak
74,93,94,71,Ya
94,90,77,83,Ya
88,91,88,90,Ya
97,87,95,83,Ya
81,95,74,71,Ya
91,91,95,95,Ya
84,85,92,95,Ya
77,98,84,92,Ya
71,93,70,82,Ya
64,84,71,99,Ya
60,80,67,70,Tidak
91,94,70,86,Ya
81,92,99,98,Ya
77,95,78,81,Ya
97,97,67,65,Ya
93,70,64,72,Ya
91,81,85,94,Ya
85,86,87,81,Ya
86,95,97,94,Ya
